"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 10 16:07:19 IST 2024","Fri May 10 16:07:19 IST 2024","404","","Purchase monitor from demoblaze","","","","Adding monitor product to cart",""
"passed","Fri May 10 16:07:05 IST 2024","Fri May 10 16:07:06 IST 2024","630","","Login to the demobalze application","","","","Login with invalid credentials",""
"passed","Fri May 10 16:07:17 IST 2024","Fri May 10 16:07:17 IST 2024","34","","signup to the demobalze application","","","","""after each"" hook for signup to the demobalze application",""
"passed","Fri May 10 16:06:58 IST 2024","Fri May 10 16:07:06 IST 2024","8053","","signup to the demobalze application","","","","signup with existing user credentials",""
"broken","Fri May 10 16:07:18 IST 2024","Fri May 10 16:07:19 IST 2024","576","","Purchase laptop from demoblaze","","","","Adding laptop product to cart",""
"passed","Fri May 10 16:07:12 IST 2024","Fri May 10 16:07:17 IST 2024","5939","","signup to the demobalze application","","","","Signup without credentials",""
"passed","Fri May 10 16:06:59 IST 2024","Fri May 10 16:07:18 IST 2024","18816","","Purchase mobile from demoblaze","","","","Adding mobile product to cart",""
"passed","Fri May 10 16:06:59 IST 2024","Fri May 10 16:07:18 IST 2024","18507","","Login to the demobalze application","","","","should login with valid credentials",""
"passed","Fri May 10 16:07:06 IST 2024","Fri May 10 16:07:17 IST 2024","11702","","signup to the demobalze application","","","","Signup with invalid credentials",""
"broken","Fri May 10 15:22:50 IST 2024","Fri May 10 15:22:50 IST 2024","9","","signup to the demobalze application","","","","""before each"" hook for signup to the demobalze application",""
"passed","Fri May 10 16:07:18 IST 2024","Fri May 10 16:07:18 IST 2024","47","","Login to the demobalze application","","","","""after each"" hook for Login to the demobalze application",""
"passed","Fri May 10 16:07:11 IST 2024","Fri May 10 16:07:18 IST 2024","6369","","Login to the demobalze application","","","","login without credentials",""
